Image_ID,NDVI_Min,NDVI_Max,NDVI_Mean,NDVI_Std
0A,0.011147541,0.87761307,0.4198741,0.18805368
0B,0.088562675,0.901355,0.44205445,0.20520645
1000A,0.06066066,0.93186927,0.85768247,0.071244895
1000B,0.05536627,0.93110514,0.7610148,0.10865606
1001A,-0.18076411,0.7790307,0.3234384,0.120327696
1001B,-0.23659517,0.78812826,0.30984193,0.13201906
1002A,-0.3026052,0.7219526,0.36140037,0.061198242
1002B,-0.10303687,0.79350543,0.3879512,0.050841916
1003A,-0.13794585,0.997191,0.62441546,0.15812801
1003B,0.043744776,0.99622643,0.5426847,0.15556598
1004A,-0.6732892,0.940877,0.35728726,0.21014935
1004B,-0.5148267,0.8988554,0.3649909,0.16993868
1005A,0.0053408733,0.97078085,0.466249,0.20118448
1005B,0.04483431,0.8922454,0.5650636,0.20804179
1006A,0.116588615,0.83309543,0.6547561,0.10555225
1006B,0.19887386,0.85247886,0.67870605,0.1057681
1007A,-0.2519894,0.87966573,0.40434417,0.22521265
1007B,-0.27596438,0.8847981,0.41172862,0.2288966
1008A,-0.56586915,0.8268098,0.2904136,0.24141169
1008B,-0.5294118,0.8232519,0.4367514,0.1844843
1009A,-0.4293629,0.8449742,0.5470661,0.15347455
1009B,-0.33333334,0.8521381,0.5695162,0.15478204
100A,-0.17743097,0.87643605,0.5158725,0.19771236
100B,0.04957582,0.895309,0.69646955,0.1354234
1010A,-0.06382979,0.89855075,0.28676847,0.124740526
1010B,0.07043344,0.6539263,0.29327613,0.08615867
1011A,-0.39313766,0.9250893,0.6587931,0.13834411
1011B,-0.32396695,0.93306124,0.6588689,0.12413166
1012A,0.19977005,0.8517881,0.6064452,0.081967786
1012B,0.13202357,0.85119206,0.5947585,0.08010199
1013A,-0.34600762,0.9925926,0.44015726,0.20370238
1013B,-0.089197226,0.99421966,0.44296423,0.21064077
1014A,0.031170158,0.78281534,0.52308774,0.17378366
1014B,-0.15784454,0.7712177,0.5011311,0.18271033
1015A,-0.2773079,0.933485,0.5820153,0.15371981
1015B,-0.078109935,0.92426366,0.6244122,0.16395943
1016A,-0.5,0.79113644,0.42818713,0.104454644
1016B,-0.48182884,0.77928483,0.44548374,0.10194597
1017A,0.18146043,0.81769866,0.65449655,0.06960165
1017B,0.11451398,0.82055885,0.6492565,0.07406484
1018A,0.018861147,0.9322862,0.53093344,0.16889693
1018B,0.04828216,0.91184676,0.48084977,0.14981265
1019A,0.17251462,0.9980815,0.854584,0.08370052
1019B,0.0065452815,0.9763496,0.72163904,0.12644939
101A,0.3656637,0.8672107,0.78942144,0.031774886
101B,0.29661152,0.85757655,0.7907472,0.03498389
1020A,-0.2239521,0.8367347,0.3621328,0.16478881
1020B,-0.3352313,0.82459915,0.33605948,0.16082594
1021A,-0.072416596,0.85508496,0.5002145,0.13979425
1021B,-0.49019608,0.8445335,0.48821267,0.20857634
1022A,-0.24119948,0.9143179,0.40687552,0.2025786
1022B,-0.30223286,0.8913616,0.48489988,0.15659794
1023A,0.6129626,0.9354721,0.87076193,0.02302468
1023B,0.011049724,0.9389235,0.8635404,0.058115177
1024A,-0.64888126,0.8574163,0.38615724,0.21916473
1024B,-0.25603864,0.90462244,0.3155784,0.16304947
1025A,0.13084456,0.86349696,0.45315692,0.09075693
1025B,0.15040696,0.7256306,0.34373206,0.06144269
1026A,-0.009874918,0.8328147,0.45418796,0.1312046
1026B,0.08750935,0.8215378,0.45405754,0.14022307
1027A,-1.0,0.92255986,0.56948626,0.38249952
1027B,-1.0,0.94489795,0.687354,0.29765072
1028A,0.10670194,0.83972913,0.49858513,0.089011684
1028B,0.06122449,0.8891775,0.5519962,0.09728227
1029A,0.13053715,0.7954071,0.3905455,0.07992731
1029B,0.07808858,0.7441422,0.3818316,0.06641522
102A,-0.59896505,0.8820556,0.40870738,0.107075796
102B,-0.7429467,0.88142294,0.39077854,0.15774247
1030A,-0.37406972,0.85356486,0.40432954,0.15449567
1030B,-0.28632644,0.84890145,0.46334165,0.15725715
1031A,-0.25898907,0.75220734,0.4096872,0.07886872
1031B,-0.12915382,0.77273476,0.4268149,0.068889216
1032A,0.0,0.9016176,0.8358166,0.018698372
1032B,0.6363032,0.8993822,0.83441675,0.017325304
1033A,-0.36531657,0.95045966,0.68652856,0.19660753
1033B,-0.7009544,0.996,0.7296847,0.2303215
1034A,-0.082969435,0.90545106,0.61029994,0.16065978
1034B,0.078784466,0.905096,0.61445904,0.14123902
1035A,0.0066730217,0.8896479,0.27703154,0.15825593
1035B,0.0,0.9016909,0.3172369,0.16775146
1036A,-0.26127914,0.73118037,0.39379662,0.10691835
1036B,-0.26164874,0.75956774,0.38658786,0.11603883
1037A,-0.024420025,0.858063,0.6033069,0.10371407
1037B,-0.24922806,0.80519795,0.5562743,0.12605047
1038A,-0.22057787,0.84595984,0.5170779,0.08134572
1038B,-0.4028213,0.8495109,0.55963016,0.08698526
1039A,-0.42081895,0.940547,0.41989717,0.14456126
1039B,-0.18020917,0.9471937,0.434867,0.17648923
103A,-0.14706966,0.7903158,0.29497162,0.12733161
