Base_ID,Image_ID_A_ID,NDVI_Mean_A,NDVI_Std_A,RGB_Mean_A,RGB_Std_A,VV_Mean_A,VV_Std_A,VH_Mean_A,VH_Std_A,Image_ID_B_ID,NDVI_Mean_B,NDVI_Std_B,RGB_Mean_B,RGB_Std_B,VV_Mean_B,VV_Std_B,VH_Mean_B,VH_Std_B
0,0A,0.4198741,0.18805368,59.35852,29.101707,98.94337,25.149336,36.22052,35.76971,0B,0.44205445,0.20520645,62.659954,27.149958,95.60449,22.078629,29.58519,31.129162
1000,1000A,0.85768247,0.071244895,22.158844,11.020837,135.65569,12.117051,82.304985,10.564413,1000B,0.7610148,0.10865606,34.780136,14.468691,121.11505,14.322373,72.60452,12.334583
1001,1001A,0.3234384,0.120327696,104.26001,33.635567,115.642204,15.816455,62.008648,18.568058,1001B,0.30984193,0.13201906,102.217865,32.433945,122.817604,21.104383,63.9982,19.871744
1002,1002A,0.36140037,0.061198242,75.00314,26.77478,110.18423,11.780373,56.584564,14.461262,1002B,0.3879512,0.050841916,69.204414,21.70002,107.664345,11.338058,50.158504,13.032197
1003,1003A,0.62441546,0.15812801,36.169903,21.973907,97.653564,25.679062,47.10217,25.780767,1003B,0.5426847,0.15556598,39.0576,20.560713,108.53861,36.76318,44.22179,31.111513
1004,1004A,0.35728726,0.21014935,92.879295,49.76272,128.75098,19.02026,68.03924,19.35417,1004B,0.3649909,0.16993868,87.09499,40.75842,135.89417,32.0424,79.47535,27.093605
1005,1005A,0.466249,0.20118448,74.175835,46.75958,118.126,18.06407,61.86664,19.501114,1005B,0.5650636,0.20804179,57.46789,46.084328,114.68579,17.135977,65.51978,19.937794
1006,1006A,0.6547561,0.10555225,48.419086,11.31657,143.53227,14.426009,88.45569,13.346479,1006B,0.67870605,0.1057681,47.54648,11.700925,147.19258,10.296534,93.254395,9.776903
1007,1007A,0.40434417,0.22521265,76.241234,44.715534,94.72878,31.291378,37.506737,36.45187,1007B,0.41172862,0.2288966,76.94353,48.15549,98.32018,29.523685,41.35172,36.464863
1008,1008A,0.2904136,0.24141169,95.94468,47.15745,94.035545,26.086205,38.08371,27.210384,1008B,0.4367514,0.1844843,73.23525,28.380226,101.60435,21.564028,47.310894,26.779415
