Image_ID,NDVI_Min,NDVI_Max,NDVI_Mean,NDVI_Std,RGB_Min,RGB_Max,RGB_Mean,RGB_Std,VV_Min,VV_Max,VV_Mean,VV_Std,VH_Min,VH_Max,VH_Mean,VH_Std
0A,0.011147541,0.87761307,0.4198741,0.18805368,11.0,221.0,59.35852,29.101707,11.0,216.0,98.94337,25.149336,0.0,117.0,36.22052,35.76971
0B,0.088562675,0.901355,0.44205445,0.20520645,8.0,240.0,62.659954,27.149958,16.0,196.0,95.60449,22.078629,0.0,134.0,29.58519,31.129162
1000A,0.06066066,0.93186927,0.85768247,0.071244895,5.0,176.0,22.158844,11.020837,78.0,176.0,135.65569,12.117051,25.0,120.0,82.304985,10.564413
1000B,0.05536627,0.93110514,0.7610148,0.10865606,6.0,222.0,34.780136,14.468691,45.0,174.0,121.11505,14.322373,0.0,121.0,72.60452,12.334583
1001A,-0.18076411,0.7790307,0.3234384,0.120327696,31.0,255.0,104.26001,33.635567,25.0,255.0,115.642204,15.816455,0.0,147.0,62.008648,18.568058
1001B,-0.23659517,0.78812826,0.30984193,0.13201906,31.0,255.0,102.217865,32.433945,9.0,255.0,122.817604,21.104383,0.0,255.0,63.9982,19.871744
1002A,-0.3026052,0.7219526,0.36140037,0.061198242,10.0,255.0,75.00314,26.77478,16.0,170.0,110.18423,11.780373,0.0,112.0,56.584564,14.461262
1002B,-0.10303687,0.79350543,0.3879512,0.050841916,6.0,255.0,69.204414,21.70002,41.0,176.0,107.664345,11.338058,0.0,112.0,50.158504,13.032197
1003A,-0.13794585,0.997191,0.62441546,0.15812801,0.0,255.0,36.169903,21.973907,0.0,255.0,97.653564,25.679062,0.0,180.0,47.10217,25.780767
1003B,0.043744776,0.99622643,0.5426847,0.15556598,0.0,255.0,39.0576,20.560713,0.0,255.0,108.53861,36.76318,0.0,183.0,44.22179,31.111513
1004A,-0.6732892,0.940877,0.35728726,0.21014935,0.0,255.0,92.879295,49.76272,15.0,255.0,128.75098,19.02026,0.0,147.0,68.03924,19.35417
1004B,-0.5148267,0.8988554,0.3649909,0.16993868,0.0,255.0,87.09499,40.75842,0.0,255.0,135.89417,32.0424,0.0,182.0,79.47535,27.093605
1005A,0.0053408733,0.97078085,0.466249,0.20118448,2.0,255.0,74.175835,46.75958,51.0,255.0,118.126,18.06407,0.0,236.0,61.86664,19.501114
1005B,0.04483431,0.8922454,0.5650636,0.20804179,10.0,255.0,57.46789,46.084328,41.0,206.0,114.68579,17.135977,0.0,143.0,65.51978,19.937794
1006A,0.116588615,0.83309543,0.6547561,0.10555225,25.0,248.0,48.419086,11.31657,12.0,255.0,143.53227,14.426009,0.0,211.0,88.45569,13.346479
1006B,0.19887386,0.85247886,0.67870605,0.1057681,26.0,218.0,47.54648,11.700925,18.0,218.0,147.19258,10.296534,0.0,196.0,93.254395,9.776903
1007A,-0.2519894,0.87966573,0.40434417,0.22521265,11.0,255.0,76.241234,44.715534,14.0,178.0,94.72878,31.291378,0.0,127.0,37.506737,36.45187
1007B,-0.27596438,0.8847981,0.41172862,0.2288966,9.0,255.0,76.94353,48.15549,10.0,178.0,98.32018,29.523685,0.0,129.0,41.35172,36.464863
1008A,-0.56586915,0.8268098,0.2904136,0.24141169,0.0,255.0,95.94468,47.15745,0.0,255.0,94.035545,26.086205,0.0,205.0,38.08371,27.210384
1008B,-0.5294118,0.8232519,0.4367514,0.1844843,17.0,255.0,73.23525,28.380226,0.0,230.0,101.60435,21.564028,0.0,255.0,47.310894,26.779415
1009A,-0.4293629,0.8449742,0.5470661,0.15347455,17.0,255.0,59.773727,24.882082,0.0,188.0,112.74665,14.744185,0.0,113.0,62.272003,18.010622
1009B,-0.33333334,0.8521381,0.5695162,0.15478204,19.0,255.0,56.702564,23.305838,0.0,171.0,115.2251,13.797455,0.0,116.0,65.674126,16.607014
100A,-0.17743097,0.87643605,0.5158725,0.19771236,18.0,255.0,66.48044,35.146942,6.0,255.0,118.030174,28.754948,0.0,203.0,64.37063,28.514532
100B,0.04957582,0.895309,0.69646955,0.1354234,14.0,255.0,44.941788,19.586742,0.0,255.0,119.605705,33.357803,0.0,190.0,68.915245,33.110027
1010A,-0.06382979,0.89855075,0.28676847,0.124740526,8.0,255.0,80.32938,37.11512,15.0,255.0,82.78928,20.969414,0.0,157.0,23.561897,23.047602
1010B,0.07043344,0.6539263,0.29327613,0.08615867,16.0,245.0,81.29309,32.000134,16.0,153.0,86.05198,17.397223,0.0,119.0,29.53418,19.43292
1011A,-0.39313766,0.9250893,0.6587931,0.13834411,9.0,255.0,41.347782,16.699215,47.0,255.0,126.85437,11.791436,0.0,128.0,76.48586,10.823705
1011B,-0.32396695,0.93306124,0.6588689,0.12413166,5.0,255.0,44.837757,17.590477,41.0,236.0,128.15698,11.465999,0.0,137.0,78.01237,10.872127
1012A,0.19977005,0.8517881,0.6064452,0.081967786,12.0,129.0,37.13302,9.822352,62.0,183.0,130.28972,11.463982,0.0,139.0,73.8495,11.713058
1012B,0.13202357,0.85119206,0.5947585,0.08010199,14.0,203.0,38.32915,10.117346,58.0,180.0,126.21442,12.094407,0.0,128.0,71.19794,12.049774
1013A,-0.34600762,0.9925926,0.44015726,0.20370238,0.0,255.0,52.376904,34.24652,0.0,255.0,126.95343,55.93359,0.0,212.0,55.80185,47.61641
1013B,-0.089197226,0.99421966,0.44296423,0.21064077,0.0,255.0,55.034725,36.956062,0.0,255.0,141.30016,60.05708,0.0,242.0,75.43052,53.251087
1014A,0.031170158,0.78281534,0.52308774,0.17378366,42.0,255.0,80.351234,27.96557,29.0,255.0,120.54281,12.427579,0.0,175.0,50.31135,18.354475
1014B,-0.15784454,0.7712177,0.5011311,0.18271033,41.0,250.0,78.93052,25.828325,0.0,235.0,119.341675,15.580784,0.0,140.0,49.61664,19.933249
1015A,-0.2773079,0.933485,0.5820153,0.15371981,2.0,255.0,50.44754,21.992964,3.0,255.0,112.80239,12.8699465,0.0,214.0,57.31357,14.875946
1015B,-0.078109935,0.92426366,0.6244122,0.16395943,3.0,255.0,46.01836,18.437729,34.0,238.0,113.381676,12.828017,0.0,189.0,56.853756,14.694253
1016A,-0.5,0.79113644,0.42818713,0.104454644,16.0,255.0,83.3894,27.954193,0.0,183.0,104.97201,12.126027,0.0,115.0,57.094387,14.157478
1016B,-0.48182884,0.77928483,0.44548374,0.10194597,17.0,255.0,79.7524,26.047436,0.0,246.0,107.83136,13.122544,0.0,107.0,57.492214,15.120741
1017A,0.18146043,0.81769866,0.65449655,0.06960165,22.0,160.0,47.649734,12.231348,81.0,195.0,141.06883,9.4065275,30.0,131.0,86.435814,9.316291
1017B,0.11451398,0.82055885,0.6492565,0.07406484,20.0,154.0,47.518127,12.523743,74.0,207.0,140.748,9.179078,15.0,138.0,86.80715,9.473092
1018A,0.018861147,0.9322862,0.53093344,0.16889693,7.0,255.0,75.49621,41.807503,25.0,191.0,111.89734,16.047115,0.0,139.0,61.169933,19.187027
1018B,0.04828216,0.91184676,0.48084977,0.14981265,0.0,255.0,80.93517,44.28018,39.0,182.0,116.37671,15.275211,0.0,135.0,67.72149,17.69591
1019A,0.17251462,0.9980815,0.854584,0.08370052,0.0,155.0,18.405252,10.926537,36.0,255.0,152.50906,38.219612,0.0,223.0,92.76823,35.487194
1019B,0.0065452815,0.9763496,0.72163904,0.12644939,1.0,181.0,33.13478,16.226126,3.0,255.0,151.27306,46.185978,0.0,216.0,93.01585,39.24511
101A,0.3656637,0.8672107,0.78942144,0.031774886,20.0,90.0,38.964523,12.852629,73.0,176.0,139.30069,9.646522,38.0,123.0,84.63398,8.706375
101B,0.29661152,0.85757655,0.7907472,0.03498389,21.0,93.0,37.958485,12.545132,71.0,197.0,138.66768,9.527958,0.0,122.0,83.93603,8.699799
1020A,-0.2239521,0.8367347,0.3621328,0.16478881,28.0,242.0,72.57537,19.854677,0.0,255.0,111.16952,16.336617,0.0,170.0,38.82302,19.82615
